Lon,Lat,LMZ,Stat_Area,EEZ,LMZ_MA,Depth,Distant_Offshore
-74.65,38.45,NA,621,EEZ Nearshore Management Area 5,0,-27,0.403807652
-74.6,38.45,NA,621,EEZ Nearshore Management Area 5,0,-29,0.453791321
-74.55,38.45,NA,621,EEZ Nearshore Management Area 5,0,-33,0.50377499
-74.5,38.45,NA,621,EEZ Nearshore Management Area 5,0,-38,0.553758659
-74.45,38.45,NA,621,EEZ Nearshore Management Area 5,0,-40,0.603742329
-74.4,38.45,NA,621,EEZ Nearshore Management Area 5,0,-44,0.653725999
-74.35,38.45,NA,621,EEZ Nearshore Management Area 5,0,-40,0.702159862
-74.3,38.45,NA,621,EEZ Nearshore Management Area 5,0,-39,0.734215821
-74.25,38.45,NA,621,EEZ Nearshore Management Area 5,0,-48,0.768190908
-74.2,38.45,NA,621,EEZ Nearshore Management Area 5,0,-47,0.80384182
-74.15,38.45,NA,621,EEZ Nearshore Management Area 5,0,-53,0.840955451
-74.1,38.45,NA,621,EEZ Nearshore Management Area 5,0,-55,0.879346616
-74.05,38.45,NA,621,EEZ Nearshore Management Area 5,0,-55,0.918855196
-74,38.45,NA,622,EEZ Nearshore Management Area 5,0,-53,0.959343145
-73.95,38.45,NA,622,EEZ Nearshore Management Area 5,0,-56,0.999163412
-73.9,38.45,NA,622,EEZ Nearshore Management Area 5,0,-56,1.037646772
-73.85,38.45,NA,622,EEZ Nearshore Management Area 5,0,-57,1.070714273
-73.8,38.45,NA,622,EEZ Nearshore Management Area 5,0,-62,1.097730547
-73.75,38.45,NA,622,EEZ Offshore Management Area 3,0,-62,1.126319517
-73.7,38.45,NA,622,EEZ Offshore Management Area 3,0,-69,1.156364542
-73.65,38.45,NA,622,EEZ Offshore Management Area 3,0,-80,1.187755132
-73.6,38.45,NA,622,EEZ Offshore Management Area 3,0,-99,1.22038746
-73.55,38.45,NA,622,EEZ Offshore Management Area 3,0,-190,1.254164603
-73.5,38.45,NA,622,EEZ Offshore Management Area 3,0,-162,1.287411405
-73.45,38.45,NA,622,EEZ Offshore Management Area 3,0,-107,1.321620568
-73.4,38.45,NA,622,EEZ Offshore Management Area 3,0,-111,1.356810129
-73.35,38.45,NA,622,EEZ Offshore Management Area 3,0,-326,1.392905785
-73.3,38.45,NA,622,EEZ Offshore Management Area 3,0,-773,1.429838916
-73.25,38.45,NA,622,EEZ Offshore Management Area 3,0,-1163,1.467492794
-73.2,38.45,NA,622,EEZ Offshore Management Area 3,0,-1539,1.50528939
-73.15,38.45,NA,622,EEZ Offshore Management Area 3,0,-1838,1.543224429
-73.1,38.45,NA,622,EEZ Offshore Management Area 3,0,-2113,1.581491551
-73.05,38.45,NA,622,EEZ Offshore Management Area 3,0,-2114,1.620260266
-73,38.45,NA,622,EEZ Offshore Management Area 3,0,-2323,1.659629817
-72.95,38.45,NA,623,EEZ Offshore Management Area 3,0,-2214,1.699558451
-72.9,38.45,NA,623,EEZ Offshore Management Area 3,0,-2315,1.738549254
-72.85,38.45,NA,623,EEZ Offshore Management Area 3,0,-2457,1.777947668
-74.95,38.5,NA,621,EEZ Nearshore Management Area 5,0,-16,0.105183449
-74.9,38.5,NA,621,EEZ Nearshore Management Area 5,0,-14,0.155167118
-74.85,38.5,NA,621,EEZ Nearshore Management Area 5,0,-21,0.205150788
